Iteration,BestFitness
0,32
100000,48
200000,64
300000,64
400000,64
500000,64
600000,64
700000,64
800000,64
900000,64
1000000,64
1100000,64
1200000,64
1300000,64
1400000,64
1500000,64
1600000,64
1700000,64
1800000,64
1900000,64
2000000,64
2100000,64
2200000,64
2300000,64
2400000,64
2500000,64
2600000,64
2700000,64
2800000,64
2900000,64
3000000,64
3100000,64
3200000,64
3300000,64
3400000,64
3500000,64
3600000,64
3700000,64
3800000,64
3900000,64
4000000,64
4100000,64
4200000,64
4300000,64
4400000,64
4500000,64
4600000,64
4700000,64
4800000,64
4900000,64
5000000,64
5100000,64
5200000,64
5300000,64
5400000,64
5500000,64
5600000,64
5700000,64
5800000,64
5900000,64
6000000,64
6100000,64
6200000,64
6300000,64
6400000,64
6500000,64
6600000,64
6700000,64
6800000,64
6900000,64
7000000,64
7100000,64
7200000,64
7300000,64
7400000,64
7500000,64
7600000,64
7700000,64
7800000,64
7900000,64
8000000,64
8100000,64
8200000,64
8300000,64
8400000,64
8500000,64
8600000,64
8700000,64
8800000,64
8900000,64
9000000,64
9100000,64
9200000,64
9300000,64
9400000,64
9500000,64
9600000,64
9700000,64
9800000,64
9900000,64
10000000,64
10100000,64
10200000,64
10300000,64
10400000,64
10500000,64
10600000,64
10700000,64
10800000,64
10900000,64
11000000,64
11100000,64
11200000,64
11300000,64
11400000,64
11500000,64
11600000,64
11700000,64
11800000,64
11900000,64
12000000,64
12100000,64
12200000,64
12300000,64
12400000,64
12500000,64
12600000,64
12700000,64
12800000,64
12900000,64
13000000,64
13100000,64
13200000,64
13300000,64
13400000,64
13500000,64
13600000,64
13700000,64
13800000,64
13900000,64
14000000,64
14100000,64
14200000,64
14300000,64
14400000,64
14500000,64
14600000,64
14700000,64
14800000,64
14900000,64
15000000,64
15100000,64
15200000,64
15300000,64
15400000,64
15500000,64
15600000,64
15700000,64
15800000,64
15900000,64
16000000,64
16100000,64
16200000,64
16300000,64
16400000,64
16500000,64
16600000,64
16700000,64
16800000,64
16900000,64
17000000,64
17100000,64
17200000,64
17300000,64
17400000,64
17500000,64
17600000,64
17700000,64
17800000,64
17900000,64
18000000,64
18100000,64
18200000,64
18300000,64
18400000,64
18500000,64
18600000,64
18700000,64
18800000,64
18900000,64
19000000,64
19100000,64
19200000,64
19300000,64
19400000,64
19500000,64
19600000,64
19700000,64
19800000,64
19900000,64
20000000,64
20100000,64
20200000,64
20300000,64
20400000,64
20500000,64
20600000,64
20700000,64
20800000,64
20900000,64
21000000,64
21100000,64
21200000,64
21300000,64
21400000,64
21500000,64
21600000,64
21700000,64
21800000,64
21900000,64
22000000,64
22100000,64
22200000,64
22300000,64
22400000,64
22500000,64
22600000,64
22700000,64
22800000,64
22900000,64
23000000,64
23100000,64
23200000,64
23300000,64
23400000,64
23500000,64
23600000,64
23700000,64
23800000,64
23900000,64
24000000,64
24100000,64
24200000,64
24300000,64
24400000,64
24500000,64
24600000,64
24700000,64
24800000,64
24900000,64
25000000,64
25100000,64
25200000,64
25300000,64
25400000,64
25500000,64
25600000,64
25700000,64
25800000,64
25900000,64
26000000,64
26100000,64
26200000,64
26300000,64
26400000,64
26500000,64
26600000,64
26700000,64
26800000,64
26900000,64
27000000,64
27100000,64
27200000,64
27300000,64
27400000,64
27500000,64
27600000,64
27700000,64
27800000,64
27900000,64
28000000,64
28100000,64
28200000,64
28300000,64
28400000,64
28500000,64
28600000,64
28700000,64
28800000,64
28900000,64
29000000,64
29100000,64
29200000,64
29300000,64
29400000,64
29500000,64
29600000,64
29700000,64
29800000,64
29900000,64
30000000,64
30100000,64
30200000,64
30300000,64
30400000,64
30500000,64
30600000,64
30700000,64
30800000,64
30900000,64
31000000,64
31100000,64
31200000,64
31300000,64
31400000,64
31500000,64
31600000,64
31700000,64
31800000,64
31900000,64
32000000,64
32100000,64
32200000,64
32300000,64
32400000,64
32500000,64
32600000,64
32700000,64
32800000,64
32900000,64
33000000,64
33100000,64
33200000,64
33300000,64
33400000,64
33500000,64
33600000,64
33700000,64
33800000,64
33900000,64
34000000,64
34100000,64
34200000,64
34300000,64
34400000,64
34500000,64
34600000,64
34700000,64
34800000,64
34900000,64
35000000,64
35100000,64
35200000,64
35300000,64
35400000,64
35500000,64
35600000,64
35700000,64
35800000,64
35900000,64
36000000,64
36100000,64
36200000,64
36300000,64
36400000,64
36500000,64
36600000,64
36700000,64
36800000,64
36900000,64
37000000,64
37100000,64
37200000,64
37300000,64
37400000,64
37500000,64
37600000,64
37700000,64
37800000,64
37900000,64
38000000,64
38100000,64
38200000,64
38300000,64
38400000,64
38500000,64
38600000,64
38700000,64
38800000,64
38900000,64
39000000,64
39100000,64
39200000,64
39300000,64
39400000,64
39500000,64
39600000,64
39700000,64
39800000,64
39900000,64
40000000,64
40100000,64
40200000,64
40300000,64
40400000,64
40500000,64
40600000,64
40700000,64
40800000,64
40900000,64
41000000,64
41100000,64
41200000,64
41300000,64
41400000,64
41500000,64
41600000,64
41700000,64
41800000,64
41900000,64
42000000,64
42100000,64
42200000,64
42300000,64
42400000,64
42500000,64
42600000,64
42700000,64
42800000,64
42900000,64
43000000,64
43100000,64
43200000,64
43300000,64
43400000,64
43500000,64
43600000,64
43700000,64
43800000,64
43900000,64
44000000,64
44100000,64
44200000,64
44300000,64
44400000,64
44500000,64
44600000,64
44700000,64
44800000,64
44900000,64
45000000,64
45100000,64
45200000,64
45300000,64
45400000,64
45500000,64
45600000,64
45700000,64
45800000,64
45900000,64
46000000,64
46100000,64
46200000,64
46300000,64
46400000,64
46500000,64
46600000,64
46700000,64
46800000,64
46900000,64
47000000,64
47100000,64
47200000,64
47300000,64
47400000,64
47500000,64
47600000,64
47700000,64
47800000,64
47900000,64
48000000,64
48100000,64
48200000,64
48300000,64
48400000,64
48500000,64
48600000,64
48700000,64
48800000,64
48900000,64
49000000,64
49100000,64
49200000,64
49300000,64
49400000,64
49500000,64
49600000,64
49700000,64
49800000,64
49900000,64
50000000,64
50100000,64
50200000,64
50300000,64
50400000,64
50500000,64
50600000,64
50700000,64
50800000,64
50900000,64
51000000,64
51100000,64
51200000,64
51300000,64
51400000,64
51500000,64
51600000,64
51700000,64
51800000,64
51900000,64
52000000,64
52100000,64
52200000,64
52300000,64
52400000,64
52500000,64
52600000,64
52700000,64
52800000,64
52900000,64
53000000,64
53100000,64
53200000,64
53300000,64
53400000,64
53500000,64
53600000,64
53700000,64
53800000,64
53900000,64
54000000,64
54100000,64
54200000,64
54300000,64
54400000,64
54500000,64
54600000,64
54700000,64
54800000,64
54900000,64
55000000,64
55100000,64
55200000,64
55300000,64
55400000,64
55500000,64
55600000,64
55700000,64
55800000,64
55900000,64
56000000,64
56100000,64
56200000,64
56300000,64
56400000,64
56500000,64
56600000,64
56700000,64
56800000,64
56900000,64
57000000,64
57100000,64
57200000,64
57300000,64
57400000,64
57500000,64
57600000,64
57700000,64
57800000,64
57900000,64
58000000,64
58100000,64
58200000,64
58300000,64
58400000,64
58500000,64
58600000,64
58700000,64
58800000,64
58900000,64
59000000,64
59100000,64
59200000,64
59300000,64
59400000,64
59500000,64
59600000,64
59700000,64
59800000,64
59900000,64
60000000,64
60100000,64
60200000,64
60300000,64
60400000,64
60500000,64
60600000,64
60700000,64
60800000,64
60900000,64
61000000,64
61100000,64
61200000,64
61300000,64
61400000,64
61500000,64
61600000,64
61700000,64
61800000,64
61900000,64
62000000,64
62100000,64
62200000,64
62300000,64
62400000,64
62500000,64
62600000,64
62700000,64
62800000,64
62900000,64
63000000,64
63100000,64
63200000,64
63300000,64
63400000,64
63500000,64
63600000,64
63700000,64
63800000,64
63900000,64
64000000,64
64100000,64
64200000,64
64300000,64
64400000,64
64500000,64
64600000,64
64700000,64
64800000,64
64900000,64
65000000,64
65100000,64
65200000,64
65300000,64
65400000,64
65500000,64
65600000,64
65700000,64
65800000,64
65900000,64
66000000,64
66100000,64
66200000,64
66300000,64
66400000,64
66500000,64
66600000,64
66700000,64
66800000,64
66900000,64
67000000,64
67100000,64
67200000,64
67300000,64
67400000,64
67500000,64
67600000,64
67700000,64
67800000,64
67900000,64
68000000,64
68100000,64
68200000,64
68300000,64
68400000,64
68500000,64
68600000,64
68700000,64
68800000,64
68900000,64
69000000,64
69100000,64
69200000,64
69300000,64
69400000,64
69500000,64
69600000,64
69700000,64
69800000,64
69900000,64
70000000,64
70100000,64
70200000,64
70300000,64
70400000,64
70500000,64
70600000,64
70700000,64
70800000,64
70900000,64
71000000,64
71100000,64
71200000,64
71300000,64
71400000,64
71500000,64
71600000,64
71700000,64
71800000,64
